Vendor Name,Vendor ID,Purchaser’s Order Number,Item ID,Item Description,Cost per Item,Quantity Ordered,Total Cost per Order,Order Date,Arrival Date,Accounts Payable Terms (Days)
Vendor B,1623,56735,137,Aluminum Sheets,37.33,283,10564.39,2024-03-03,2024-03-07,42
Vendor C,1203,57651,104,Titanium Plates,22.28,23,512.44,2024-01-10,2024-01-19,57
Vendor A,1156,50887,334,Steel Bolts,22.98,474,10892.52,2024-03-04,2024-03-08,38
Vendor B,1382,51612,418,Copper Wires,11.64,211,2456.04,2024-03-15,2024-03-28,19
Vendor A,1780,50993,388,Steel Bolts,35.94,313,11249.22,2024-03-29,2024-04-01,47
Vendor D,1165,56596,151,Copper Wires,45.17,298,13460.66,2024-01-21,2024-01-26,56
Vendor C,1552,55559,137,Titanium Plates,43.72,349,15258.28,2024-03-14,2024-03-21,36
Vendor D,1976,51790,375,Titanium Plates,44.85,23,1031.55,2024-01-12,2024-01-18,15
Vendor C,1797,54073,209,Copper Wires,40.03,52,2081.56,2024-01-17,2024-01-28,41
Vendor B,1944,53139,359,Aluminum Sheets,14.85,339,5034.15,2024-02-24,2024-03-07,46
Vendor C,1543,53116,235,Aluminum Sheets,41.18,229,9430.22,2024-03-18,2024-04-02,21
Vendor C,1940,58786,167,Titanium Plates,36.32,79,2869.28,2024-03-21,2024-03-27,42
Vendor B,1000,57350,278,Titanium Plates,25.9,453,11732.7,2024-03-08,2024-03-17,38
Vendor C,1613,52296,135,Steel Bolts,30.08,246,7399.68,2024-02-28,2024-03-09,55
Vendor A,1331,56912,225,Titanium Plates,46.29,103,4767.87,2024-02-09,2024-02-21,44
Vendor B,1500,53006,289,Copper Wires,10.46,35,366.1,2024-02-25,2024-03-03,60
Vendor B,1019,54563,245,Aluminum Sheets,11.0,143,1573.0,2024-03-14,2024-03-26,24
Vendor B,1114,57579,180,Aluminum Sheets,25.91,204,5285.64,2024-01-09,2024-01-21,42
Vendor D,1951,54092,324,Steel Bolts,28.9,177,5115.3,2024-01-14,2024-01-29,26
Vendor D,1371,51235,378,Aluminum Sheets,30.15,118,3557.7,2024-01-28,2024-02-10,48
Vendor C,1899,57260,460,Aluminum Sheets,19.28,242,4665.76,2024-01-29,2024-02-05,56
Vendor B,1851,59016,254,Carbon Fiber Panels,38.99,177,6901.23,2024-03-26,2024-03-30,32
Vendor C,1826,51604,413,Copper Wires,24.92,182,4535.44,2024-01-22,2024-01-28,54
Vendor A,1314,50828,434,Carbon Fiber Panels,41.68,399,16630.32,2024-01-24,2024-02-04,49
Vendor B,1245,58856,370,Aluminum Sheets,45.14,460,20764.4,2024-01-11,2024-01-16,45
Vendor A,1059,50241,104,Steel Bolts,24.2,204,4936.8,2024-01-02,2024-01-11,44
Vendor C,1246,51528,441,Steel Bolts,45.81,152,6963.12,2024-02-28,2024-03-13,42
Vendor D,1899,53872,383,Aluminum Sheets,25.07,395,9902.65,2024-03-18,2024-03-28,52
Vendor C,1580,52724,253,Titanium Plates,12.16,497,6043.52,2024-02-08,2024-02-11,32
Vendor A,1969,56658,439,Carbon Fiber Panels,43.77,435,19039.95,2024-01-31,2024-02-07,35
Vendor B,1080,57956,153,Aluminum Sheets,25.25,225,5681.25,2024-02-07,2024-02-21,30
Vendor C,1087,57886,168,Steel Bolts,38.83,139,5397.37,2024-02-29,2024-03-04,20
Vendor B,1749,53502,235,Steel Bolts,42.79,437,18699.23,2024-03-29,2024-04-04,32
Vendor D,1497,56570,159,Carbon Fiber Panels,17.48,51,891.48,2024-02-04,2024-02-19,43
Vendor D,1835,50960,154,Copper Wires,40.0,250,10000.0,2024-03-22,2024-04-03,30
Vendor D,1070,52697,480,Aluminum Sheets,26.81,19,509.39,2024-03-26,2024-04-10,44
Vendor B,1778,56209,383,Aluminum Sheets,15.77,393,6197.61,2024-01-27,2024-02-05,51
Vendor C,1545,50035,179,Copper Wires,24.79,286,7089.94,2024-01-16,2024-01-27,54
Vendor B,1784,56396,239,Carbon Fiber Panels,37.11,36,1335.96,2024-01-30,2024-02-12,57
Vendor B,1128,54345,244,Carbon Fiber Panels,15.55,497,7728.35,2024-01-21,2024-01-28,39
Vendor C,1131,57454,409,Steel Bolts,20.11,189,3800.79,2024-01-20,2024-01-24,36
Vendor D,1675,54673,207,Copper Wires,45.19,124,5603.56,2024-01-09,2024-01-14,16
Vendor D,1486,56930,467,Carbon Fiber Panels,8.63,342,2951.46,2024-02-10,2024-02-22,46
Vendor C,1969,59105,275,Titanium Plates,11.79,45,530.55,2024-03-14,2024-03-21,35
Vendor B,1562,57973,204,Aluminum Sheets,22.24,409,9096.16,2024-02-27,2024-03-02,26
Vendor B,1169,52536,451,Steel Bolts,11.88,500,5940.0,2024-03-01,2024-03-15,46
Vendor D,1271,53111,424,Copper Wires,14.63,343,5018.09,2024-02-09,2024-02-23,28
Vendor A,1540,54861,235,Steel Bolts,23.67,30,710.1,2024-02-22,2024-02-29,37
Vendor A,1893,53566,358,Carbon Fiber Panels,19.89,396,7876.44,2024-03-06,2024-03-17,31
Vendor A,1621,50958,350,Carbon Fiber Panels,25.97,25,649.25,2024-03-05,2024-03-15,36
Vendor B,1433,59489,228,Titanium Plates,7.8,496,3868.8,2024-01-12,2024-01-24,32
Vendor B,1987,58883,126,Aluminum Sheets,42.48,136,5777.28,2024-01-07,2024-01-16,53
Vendor D,1216,50998,147,Copper Wires,22.53,112,2523.36,2024-02-12,2024-02-24,59
Vendor A,1951,55138,424,Steel Bolts,39.64,439,17401.96,2024-02-03,2024-02-06,32
Vendor D,1552,50936,316,Aluminum Sheets,47.57,20,951.4,2024-01-13,2024-01-19,50
